Nota_geral,Renda
"58,7",E
"49,8",C
"40,1",C
"53,2",B
"52,4",B
"22,4",F
"53,3",E
"44,4",B
66,D
"36,5",B
"32,1",D
23,E
"55,8",F
"35,5",D
"39,5",B
"68,3",D
"46,5",C
"39,1",F
"25,4",B
36,C
"54,9",B
"61,9",E
"43,3",F
"62,8",F
"42,7",E
"79,9",F
"73,9",E
"51,8",D
"66,9",E
"74,6",E
"60,3",F
"52,1",F
"17,8",F
"56,4",E
"39,7",F
"48,6",G
"65,8",F
"54,8",F
"58,6",D
"60,6",F
"56,1",F
"56,7",F
"55,4",B
"69,7",E
"59,3",G
"48,6",F
"55,3",D
"33,8",B
"66,3",F
"37,8",E
50,E
"59,8",F
"56,4",B
"51,7",F
"38,8",D
"52,9",E
"34,8",C
"50,8",F
"56,3",E
"54,3",B
"56,1",F
"40,4",D
"54,6",F
"40,9",E
"49,2",F
"54,7",E
"66,4",E
"13,2",B
"38,6",F
"43,9",E
"42,3",G
57,F
"49,4",C
"60,9",E
"33,3",B
"20,9",E
"40,2",F
"25,1",F
"2,7",F
"39,9",F
"46,6",C
"55,7",F
"22,7",F
"47,8",D
"43,2",A
"52,7",E
"59,2",E
"47,8",E
"48,6",F
"16,3",C
"43,1",D
"44,4",F
"50,5",D
"51,9",E
"63,2",F
"36,9",E
47,F
"41,1",F
"33,7",B
"47,6",C
"33,1",A
"47,7",A
"40,8",E
"36,7",B
"68,5",A
"46,9",B
"56,2",E
"51,1",F
"37,1",E
"54,4",C
46,D
"45,2",D
42,B
"43,7",F
"33,8",F
"32,4",C
"32,3",F
"44,7",C
"48,4",A
49,E
"57,6",B
"58,3",D
"56,9",D
"28,8",A
"46,2",D
"60,8",B
"50,3",B
"38,1",D
45,B
"62,7",C
"47,9",B
"38,3",B
"45,8",B
"34,8",D
"40,5",F
"43,7",B
"46,9",C
"51,2",C
"56,5",C
"39,1",B
"58,5",E
"33,5",D
"54,3",A
"48,1",B
"48,9",B
"34,2",E
"45,6",D
"44,9",A
"41,7",C
"65,5",E
"45,9",B
"38,5",B
"38,9",B
"42,1",E
"48,7",C
"61,6",E
"37,3",C
"52,4",B
"28,7",E
"68,7",C
38,C
38,D
"40,7",B
"46,7",C
"70,2",B
"48,4",A
"34,6",C
"61,7",C
"55,8",C
"71,8",E
"43,8",D
"48,4",D
"66,2",A
"26,2",C
"46,7",C
"48,3",B
"37,7",C
"61,1",C
"54,2",B
"42,3",E
"50,2",C
"21,6",B
"51,5",B
"49,7",G
"60,5",B
"52,5",B
"57,2",C
"52,8",E
"40,1",F
"62,4",E
"59,4",B
"50,8",D
"62,1",C
"62,1",E
"40,8",C
"73,5",E
"46,2",B
"70,2",A
"48,1",B
"53,1",D
"40,6",C
"47,9",D
"62,8",F
"53,5",C
61,B
"69,9",C
"52,7",A
"57,1",B
"61,7",B
"45,3",B
"35,6",C
"45,9",E
"47,2",E
"56,6",C
"69,1",D
"41,1",E
"39,7",B
"33,1",B
"66,4",B
54,D
"54,3",E
"50,7",D
"46,7",E
"60,3",C
"35,5",D
"32,1",C
"53,5",F
39,E
"50,2",B
"31,5",B
"22,4",B
"53,8",B
"18,2",C
"34,6",C
"30,7",B
"36,6",A
"34,1",C
"33,2",B
"31,6",D
"59,4",D
"41,6",D
"42,9",A
0,B
24,B
"60,5",E
"41,9",C
"16,5",B
"46,5",B
"20,5",A
"30,6",E
"7,2",B
"43,5",C
"41,5",C
39,C
"40,6",B
"44,4",A
"54,6",C
"22,5",A
"45,5",B
"29,2",B
"33,6",C
"36,3",C
"19,7",B
"54,5",B
36,B
"40,2",B
"26,3",A
"34,3",B
45,C
"25,8",C
"30,8",A
"27,4",A
"47,1",A
"48,1",B
"39,3",C
"28,4",B
32,B
"30,9",C
"42,8",B
"46,4",D
"51,7",D
"68,2",F
"51,6",E
"65,1",C
"66,2",D
