Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
36,4004,5,"58,7",D,F,E,A,E
36,4004,5,"49,8",D,C,C,A,C
36,4004,5,,,,,,
36,4004,5,"40,1",D,D,C,A,C
36,4004,5,"53,2",B,B,B,A,C
36,4004,5,"52,4",E,F,B,B,E
36,4004,5,"22,4",E,D,F,E,E
36,4004,5,"53,3",E,D,E,B,E
36,4004,5,"44,4",B,D,B,A,E
36,4004,5,66,D,C,D,A,B
36,4004,5,"36,5",D,E,B,B,C
36,4004,5,"32,1",E,E,D,A,D
36,4004,5,23,F,F,E,B,E
36,4004,5,"55,8",E,F,F,D,D
36,4004,5,"35,5",B,B,D,A,C
36,4004,5,"39,5",D,D,B,A,B
36,4004,5,"68,3",D,D,D,B,C
36,4004,5,"46,5",D,D,C,B,E
36,4004,5,"39,1",E,E,F,B,C
36,4004,5,"25,4",B,C,B,A,C
36,4004,5,36,D,F,C,E,C
36,4004,5,"54,9",B,D,B,A,E
36,4004,5,"61,9",B,C,E,D,C
127,4004,5,"43,3",D,F,F,B,E
127,4004,5,"50,6",,,,,
127,4004,5,"62,8",F,F,F,B,D
127,4004,5,"42,7",F,D,E,B,C
127,4004,5,"51,5",,,,,
127,4004,5,"79,9",F,F,F,B,C
127,4004,5,,E,E,F,B,D
127,4004,5,"73,9",F,F,E,B,B
127,4004,5,"51,8",D,C,D,B,D
127,4004,5,"66,9",E,E,E,B,E
127,4004,5,"74,6",F,E,E,A,A
127,4004,5,"60,3",E,E,F,B,B
127,4004,5,"52,1",F,D,F,B,B
127,4004,5,"17,8",D,E,F,A,C
127,4004,5,"56,4",F,F,E,D,E
127,4004,5,"39,7",F,E,F,B,E
127,4004,5,"48,6",F,F,G,B,C
127,4004,5,"65,8",E,D,F,B,D
127,4004,5,"54,8",E,E,F,A,D
127,4004,5,"58,6",E,D,D,A,D
127,4004,5,"61,5",,,,,
127,4004,5,"60,6",F,F,F,B,D
127,4004,5,"56,1",F,E,F,B,D
127,4004,5,"56,7",E,E,F,B,C
127,4004,5,"46,6",,,,,
127,4004,5,"55,4",D,E,B,A,E
127,4004,5,"69,7",D,D,E,B,C
127,4004,5,"59,3",F,F,G,B,E
127,4004,5,"48,6",F,F,F,B,E
127,4004,5,"55,3",D,D,D,A,E
127,4004,5,,,,,,
127,4004,5,"33,8",D,D,B,A,E
127,4004,5,,E,D,F,B,D
127,4004,5,"66,3",D,E,F,B,C
127,4004,5,,,,,,
127,4004,5,,,,,,
127,4004,5,"37,8",A,C,E,A,D
127,4004,5,50,D,E,E,B,E
127,4004,5,"59,8",E,F,F,B,E
127,4004,5,,,,,,
127,4004,5,"56,4",E,F,B,B,E
127,4004,5,,,,,,
127,4004,5,"51,7",F,E,F,B,C
127,4004,5,,,,,,
127,4004,5,"38,8",E,D,D,B,E
127,4004,5,"52,9",E,E,E,B,E
127,4004,5,45,,,,,
127,4004,5,,,,,,
127,4004,5,"34,8",D,C,C,A,B
127,4004,5,,,,,,
127,4004,5,,,,,,
127,4004,5,,,,,,
127,4004,5,"50,8",B,B,F,A,D
127,4004,5,"56,3",E,E,E,B,C
127,4004,5,"9,3",,,,,
127,4004,5,"54,3",E,D,B,E,B
127,4004,5,"56,1",E,F,F,B,A
127,4004,5,,,,,,
127,4004,5,"40,4",E,E,D,B,E
127,4004,5,,,,,,
127,4004,5,"54,6",E,E,F,B,B
