Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
26,702,5,"18,9",D,D,C,A,B
26,702,5,"31,6",E,E,E,A,B
26,702,5,"35,3",D,E,B,A,D
26,702,5,"32,9",E,D,E,B,B
26,702,5,"27,8",A,D,B,B,B
26,702,5,"35,8",C,D,C,A,D
26,702,5,"38,4",C,A,C,A,C
26,702,5,"71,8",D,E,E,B,C
26,702,5,,,,,,
26,702,5,"36,6",A,B,A,A,C
26,702,5,"40,9",D,D,C,A,E
26,702,5,,,,,,
26,702,5,,,,,,
26,702,5,"28,2",A,B,D,A,C
26,702,5,,D,D,B,A,B
26,702,5,"49,2",F,D,E,B,B
26,702,5,"37,2",E,D,C,A,B
26,702,5,"38,1",B,B,C,A,A
26,702,5,"50,6",B,B,A,A,A
26,702,5,"32,4",D,E,B,E,D
26,702,5,"8,3",D,C,B,B,B
34,702,5,,A,C,B,A,C
34,702,5,"43,4",D,D,A,A,C
34,702,5,"31,7",A,C,A,D,D
34,702,5,"56,4",C,C,A,A,C
34,702,5,"62,3",B,D,C,A,E
34,702,5,"31,5",B,D,B,A,C
34,702,5,"62,7",C,D,D,A,E
34,702,5,,A,D,B,A,B
34,702,5,"46,7",A,C,A,A,C
34,702,5,"57,2",B,C,D,A,B
34,702,5,"48,6",B,F,B,A,C
161,702,5,"20,7",D,D,D,A,B
161,702,5,"65,6",D,D,B,A,D
161,702,5,"63,5",C,C,E,A,C
161,702,5,"32,1",D,E,C,B,C
161,702,5,,,,,,
161,702,5,"36,5",F,B,E,A,E
161,702,5,"54,6",E,E,F,A,C
161,702,5,"56,6",E,E,C,B,E
161,702,5,"59,3",F,F,E,B,B
161,702,5,"29,8",D,D,B,E,C
161,702,5,"15,7",,,,,
161,702,5,,,,,,
161,702,5,"46,1",E,F,F,B,C
161,702,5,"25,2",E,E,E,B,B
161,702,5,"27,9",E,E,F,B,B
161,702,5,34,D,D,C,B,B
161,702,5,"70,9",D,E,C,A,C
10811,702,5,"34,5",C,B,D,A,C
10811,702,5,"48,9",B,B,C,A,C
10811,702,5,,,,,,
10811,702,5,"48,6",F,E,D,A,B
10811,702,5,41,A,B,C,A,D
10811,702,5,,B,B,E,A,B
10811,702,5,"32,7",C,C,E,E,C
10811,702,5,"56,9",E,D,A,A,B
10811,702,5,"26,8",C,D,A,A,E
10811,702,5,"47,8",C,C,C,A,B
10811,702,5,"36,1",B,D,C,A,A
10811,702,5,"45,9",B,B,C,A,B
10811,702,5,"27,4",C,B,C,A,B
10811,702,5,"39,6",C,D,A,A,B
10811,702,5,,,,,,
10811,702,5,"26,8",D,D,C,A,B
10811,702,5,"52,4",E,D,A,A,C
10811,702,5,,,,,,
10811,702,5,"36,3",B,D,B,A,C
10811,702,5,"50,2",B,C,B,B,B
10811,702,5,"36,6",B,D,D,A,B
10811,702,5,"30,3",C,E,B,A,B
10811,702,5,"53,8",B,E,D,A,B
14121,702,5,"31,7",D,C,B,E,C
14121,702,5,30,,,,,
14121,702,5,"53,4",C,D,A,B,B
14121,702,5,"28,8",C,C,C,D,B
14121,702,5,"39,4",B,C,B,A,C
14121,702,5,"57,1",D,D,B,B,B
14121,702,5,"21,3",D,D,E,B,A
14121,702,5,"49,2",E,E,C,A,C
14121,702,5,"64,7",C,D,B,A,D
14121,702,5,"52,4",C,D,D,A,E
14121,702,5,"24,1",C,C,B,A,C
14121,702,5,"49,5",D,E,B,A,C
14121,702,5,"17,2",A,B,D,A,B
