Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
317,4004,2,"34,4",E,E,F,B,B
317,4004,2,"39,4",E,E,A,B,E
317,4004,2,50,E,D,D,A,D
317,4004,2,,,,,,
317,4004,2,"45,3",D,D,C,B,D
317,4004,2,"34,6",D,D,A,B,D
317,4004,2,"42,8",,,,,
317,4004,2,"27,5",E,E,A,A,C
317,4004,2,"43,9",D,D,C,A,B
317,4004,2,"48,8",F,D,B,A,B
317,4004,2,"55,3",D,D,E,B,C
317,4004,2,60,,,,,
317,4004,2,"53,4",D,C,C,A,D
317,4004,2,"50,5",F,F,C,A,E
317,4004,2,,A,B,A,A,B
317,4004,2,43,E,D,C,B,D
317,4004,2,"60,5",,,,,
317,4004,2,"52,4",F,E,D,A,B
317,4004,2,"64,5",D,D,D,A,C
317,4004,2,,F,F,B,B,C
317,4004,2,"38,6",D,F,D,B,D
317,4004,2,"65,6",D,D,B,B,C
317,4004,2,"28,8",D,D,B,A,C
317,4004,2,"67,8",D,F,D,A,B
317,4004,2,"62,3",B,D,C,B,A
317,4004,2,"68,1",,,,,
317,4004,2,"27,9",D,F,B,B,B
317,4004,2,"54,1",D,E,E,A,B
317,4004,2,"14,4",,,,,
317,4004,2,"54,4",A,A,B,A,B
317,4004,2,,,,,,
317,4004,2,"33,8",D,B,C,A,C
317,4004,2,,,,,,
317,4004,2,,,,,,
317,4004,2,"49,6",F,E,E,B,D
317,4004,2,,D,D,B,A,B
317,4004,2,,,,,,
317,4004,2,"56,9",B,C,B,A,B
317,4004,2,"45,4",C,D,B,A,D
513,4004,2,"46,9",C,E,C,B,C
513,4004,2,,,,,,
513,4004,2,"40,8",B,B,B,A,C
513,4004,2,"25,7",A,B,B,A,D
513,4004,2,"47,1",E,E,B,B,D
513,4004,2,"46,5",F,E,E,B,C
513,4004,2,55,,,,,
513,4004,2,,,,,,
513,4004,2,,,,,,
513,4004,2,"38,9",D,E,A,A,D
513,4004,2,"23,3",D,C,B,A,C
513,4004,2,"40,4",D,D,C,B,B
513,4004,2,"43,2",D,D,A,A,B
513,4004,2,"37,1",D,D,D,B,B
513,4004,2,"59,2",D,D,B,A,B
513,4004,2,"44,4",D,D,D,B,C
513,4004,2,25,D,E,E,B,C
513,4004,2,44,E,C,B,B,D
513,4004,2,"25,7",D,D,B,A,D
513,4004,2,"50,1",C,B,B,D,B
513,4004,2,,D,D,C,B,C
513,4004,2,"47,2",E,E,C,B,C
513,4004,2,48,F,D,F,B,B
513,4004,2,"62,5",E,D,A,A,C
513,4004,2,"46,9",E,D,B,B,B
513,4004,2,,D,D,B,B,A
513,4004,2,"63,5",E,F,D,B,C
513,4004,2,40,,,,,
513,4004,2,"43,2",C,D,B,D,C
513,4004,2,"39,1",A,A,A,D,C
513,4004,2,,E,F,E,B,E
513,4004,2,"36,1",B,A,B,A,B
513,4004,2,"44,4",C,D,B,E,E
513,4004,2,,,,,,
513,4004,2,,,,,,
513,4004,2,55,D,B,B,A,C
513,4004,2,"31,7",E,D,D,B,C
513,4004,2,"28,8",D,D,A,B,B
513,4004,2,41,E,D,F,B,B
513,4004,2,,,,,,
513,4004,2,"48,1",F,F,D,B,E
513,4004,2,47,D,C,B,A,C
513,4004,2,"46,2",D,B,B,A,D
513,4004,2,,,,,,
513,4004,2,"75,8",E,E,E,B,B
513,4004,2,"40,5",D,C,A,B,B
513,4004,2,"62,4",C,D,B,A,E
513,4004,2,"43,9",D,E,C,B,B
513,4004,2,65,C,D,D,B,E
513,4004,2,"25,1",C,C,A,B,D
513,4004,2,"36,4",D,D,A,A,B
513,4004,2,"49,1",D,F,E,B,E
513,4004,2,"29,3",B,B,A,A,C
513,4004,2,20,D,E,B,D,D
513,4004,2,"27,2",D,D,C,A,B
513,4004,2,"39,1",E,E,E,B,D
513,4004,2,"39,3",F,F,F,B,D
513,4004,2,"50,5",C,C,A,A,B
513,4004,2,"40,6",D,E,C,E,D
513,4004,2,,,,,,
513,4004,2,"67,1",F,F,F,B,B
513,4004,2,"41,7",C,D,C,A,B
513,4004,2,32,D,D,C,A,C
513,4004,2,"37,4",B,B,B,A,E
513,4004,2,,,,,,
968,4004,2,"37,5",D,D,E,B,A
968,4004,2,,,,,,
968,4004,2,,,,,,
968,4004,2,,,,,,
968,4004,2,"38,9",D,F,D,B,A
968,4004,2,"34,9",E,F,E,B,B
968,4004,2,"40,5",E,E,C,B,C
968,4004,2,,,,,,
968,4004,2,"45,9",E,F,F,B,B
968,4004,2,"44,9",D,B,C,B,C
968,4004,2,"44,8",B,D,E,A,C
968,4004,2,"59,2",D,D,D,B,B
968,4004,2,"36,2",E,E,F,B,C
968,4004,2,44,D,E,F,B,A
968,4004,2,"45,2",D,E,D,B,B
968,4004,2,,,,,,
968,4004,2,,,,,,
968,4004,2,"48,9",E,F,F,B,B
968,4004,2,40,C,D,B,B,B
968,4004,2,"41,2",E,E,E,A,D
968,4004,2,,E,D,C,B,C
968,4004,2,"49,9",E,E,D,B,B
968,4004,2,"61,1",D,E,D,B,B
968,4004,2,"50,4",E,E,E,B,C
968,4004,2,,,,,,
