Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
12025,4004,1,,D,B,A,A,B
12025,4004,1,"48,6",C,D,A,A,C
12025,4004,1,"63,2",E,E,D,B,C
12025,4004,1,"51,1",C,D,B,B,B
12025,4004,1,,,,,,
12025,4004,1,"39,3",C,B,B,A,E
12025,4004,1,,,,,,
12025,4004,1,,,,,,
12025,4004,1,"53,3",C,F,B,A,D
12025,4004,1,,,,,,
12025,4004,1,"59,6",B,C,B,A,C
12025,4004,1,"39,5",B,E,A,B,A
12025,4004,1,"54,9",D,D,E,A,B
12025,4004,1,"65,9",D,D,B,A,E
12025,4004,1,"70,5",F,F,G,B,C
12025,4004,1,"61,1",D,D,A,A,E
12025,4004,1,"46,1",D,D,D,A,B
12025,4004,1,"42,6",F,D,A,A,D
12025,4004,1,"29,2",C,D,C,A,C
12025,4004,1,"44,8",D,D,C,D,E
12025,4004,1,"52,1",D,F,F,B,C
12025,4004,1,"44,2",D,D,C,B,B
12025,4004,1,"45,6",E,F,D,B,C
12025,4004,1,,,,,,
12025,4004,1,"32,9",D,D,A,B,C
12025,4004,1,,,,,,
12025,4004,1,,,,,,
12025,4004,1,"32,7",E,D,E,B,D
12025,4004,1,43,E,D,E,B,B
12025,4004,1,,,,,,
12025,4004,1,"34,1",E,E,C,A,B
12025,4004,1,"38,7",D,D,B,A,B
12025,4004,1,,,,,,
12025,4004,1,52,D,D,C,D,D
12025,4004,1,"52,2",E,C,B,B,B
12025,4004,1,"39,8",D,D,C,B,E
12025,4004,1,,F,F,C,A,B
12025,4004,1,"38,9",C,C,D,A,C
12025,4004,1,"49,3",D,D,B,B,B
12025,4004,1,,,,,,
12025,4004,1,"60,3",D,D,C,B,B
12025,4004,1,,,,,,
12025,4004,1,42,E,C,E,B,B
12025,4004,1,"40,4",D,D,E,B,B
12025,4004,1,"40,7",D,E,A,B,C
12025,4004,1,"64,5",D,F,F,B,B
12025,4004,1,,D,D,E,A,D
12025,4004,1,"28,5",A,A,D,A,B
18250,4004,1,43,E,D,C,B,C
18250,4004,1,"44,7",F,F,F,B,B
18250,4004,1,,,,,,
18250,4004,1,"44,6",E,E,G,B,C
18250,4004,1,"50,4",D,F,D,B,C
18250,4004,1,"41,2",C,E,A,A,D
18250,4004,1,"40,4",D,D,B,A,B
18250,4004,1,"39,4",E,E,E,B,C
18250,4004,1,"39,7",E,E,D,A,B
18250,4004,1,"40,6",F,F,F,B,B
18250,4004,1,"35,2",E,E,E,B,C
18250,4004,1,"30,3",D,F,C,B,B
18250,4004,1,"52,6",E,D,F,B,E
18250,4004,1,,F,D,F,B,C
18250,4004,1,"35,3",D,E,D,B,C
18250,4004,1,"44,5",E,E,E,B,C
18250,4004,1,,,,,,
18250,4004,1,"15,9",F,F,E,B,B
18250,4004,1,"31,9",E,D,E,B,D
18250,4004,1,"35,5",F,F,F,E,D
