Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
379,702,1,"43,7",D,C,C,A,D
379,702,1,,,,,,
379,702,1,"51,4",C,D,A,A,C
379,702,1,"52,6",D,D,A,A,C
379,702,1,,,,,,
379,702,1,"59,1",B,B,A,A,C
379,702,1,"25,8",C,C,A,A,B
379,702,1,"31,5",A,C,A,A,B
379,702,1,"32,4",D,B,B,A,E
379,702,1,"29,9",A,E,A,A,B
379,702,1,,,,,,
379,702,1,"13,4",D,D,A,A,B
379,702,1,"27,2",D,D,B,A,C
379,702,1,,,,,,
379,702,1,"54,9",B,D,D,A,C
379,702,1,,,,,,
379,702,1,"45,8",A,B,A,A,C
379,702,1,"43,1",D,D,C,A,B
379,702,1,"54,4",B,D,B,A,C
379,702,1,"30,4",C,C,A,A,E
379,702,1,,,,,,
379,702,1,"25,2",A,B,A,A,E
379,702,1,"31,5",A,B,A,A,B
379,702,1,"63,6",C,E,B,A,E
379,702,1,"31,3",A,B,B,A,B
379,702,1,"23,7",B,A,C,A,B
379,702,1,"79,7",D,C,C,B,B
379,702,1,"28,9",E,D,C,A,B
379,702,1,"31,5",D,D,A,A,B
379,702,1,"39,5",B,C,B,A,D
379,702,1,"25,6",C,C,B,A,B
379,702,1,,,,,,
379,702,1,,,,,,
379,702,1,"44,1",E,D,B,B,B
379,702,1,"36,3",D,D,B,B,C
11540,702,1,77,E,D,B,A,D
11540,702,1,"30,2",D,C,D,A,B
11540,702,1,"30,7",B,C,A,A,B
11540,702,1,48,E,C,C,A,B
11540,702,1,"49,3",C,D,B,A,D
11540,702,1,"30,2",C,D,B,B,B
11540,702,1,,,,,,
11540,702,1,"26,7",B,B,B,A,B
11540,702,1,"55,4",B,B,C,A,B
11540,702,1,"56,6",D,F,D,A,C
11540,702,1,"61,2",C,E,B,A,B
11540,702,1,"42,9",D,D,C,A,B
11540,702,1,,,,,,
11540,702,1,24,D,B,B,A,B
11540,702,1,"33,5",B,D,B,A,B
11540,702,1,"34,8",D,C,C,A,E
11999,702,1,"27,4",C,B,A,A,C
11999,702,1,,,,,,
11999,702,1,,D,D,C,A,A
11999,702,1,25,B,B,B,A,B
11999,702,1,"36,7",B,C,B,A,C
11999,702,1,"20,1",B,C,B,B,C
11999,702,1,"20,1",E,D,A,A,B
11999,702,1,"61,5",C,C,C,A,C
11999,702,1,"39,9",E,D,C,B,C
11999,702,1,"31,5",B,B,A,A,C
11999,702,1,,D,C,E,E,E
11999,702,1,,,,,,
11999,702,1,"47,7",B,D,B,A,B
11999,702,1,"32,9",B,B,A,A,B
11999,702,1,"19,6",B,E,E,B,E
11999,702,1,"37,6",D,D,A,A,B
11999,702,1,"23,2",C,C,C,A,C
11999,702,1,"20,6",D,C,A,B,E
11999,702,1,"63,3",C,D,B,A,B
11999,702,1,"16,7",B,D,A,A,B
11999,702,1,"46,6",D,D,A,E,B
11999,702,1,"52,8",A,B,A,A,C
11999,702,1,"44,4",A,C,C,A,A
11999,702,1,"38,3",D,D,C,A,C
11999,702,1,"49,6",,,,,
11999,702,1,51,A,B,B,A,B
11999,702,1,"39,2",D,D,B,A,D
11999,702,1,"25,1",B,B,E,A,B
11999,702,1,"52,8",D,D,A,A,B
11999,702,1,29,C,C,A,A,C
11999,702,1,"62,6",D,B,C,D,C
11999,702,1,"31,5",C,C,A,A,B
11999,702,1,"59,4",D,F,E,A,B
11999,702,1,"34,5",D,D,B,A,A
11999,702,1,"22,3",B,D,A,A,D
11999,702,1,,B,E,D,D,B
11999,702,1,"33,1",D,B,A,A,C
11999,702,1,"30,7",B,A,C,A,B
11999,702,1,"39,8",B,C,C,A,D
11999,702,1,"43,9",E,D,B,A,B
11999,702,1,"53,1",D,D,A,A,B
11999,702,1,"28,1",B,B,E,A,E
11999,702,1,"43,3",C,D,A,A,C
11999,702,1,42,E,C,A,A,C
11999,702,1,"35,3",D,D,C,A,B
11999,702,1,"65,6",A,C,A,A,C
11999,702,1,"49,8",B,B,A,A,E
11999,702,1,"50,4",D,B,A,A,B
11999,702,1,"49,1",D,D,B,B,D
11999,702,1,"82,6",D,D,E,B,E
11999,702,1,"39,6",C,C,B,A,E
11999,702,1,"38,6",D,C,A,B,C
11999,702,1,"31,4",B,D,A,A,C
11999,702,1,,,,,,
11999,702,1,"30,7",D,D,E,B,B
11999,702,1,"69,5",A,A,A,A,B
11999,702,1,"72,4",D,C,A,A,C
11999,702,1,"34,2",D,D,A,A,A
11999,702,1,"42,1",B,C,A,A,B
11999,702,1,"40,3",B,B,B,A,B
11999,702,1,"21,4",C,D,C,A,E
11999,702,1,"54,2",C,C,D,D,B
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"43,8",B,D,A,A,C
11999,702,1,"40,2",A,D,C,A,B
11999,702,1,"44,9",D,B,F,A,C
11999,702,1,"29,1",D,D,C,D,C
11999,702,1,"24,5",B,D,B,E,C
11999,702,1,"44,4",B,B,D,A,B
11999,702,1,"49,3",B,B,B,A,E
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,A,B,A,A,B
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"20,7",B,D,D,A,B
11999,702,1,"46,2",A,A,B,A,B
11999,702,1,"34,3",C,C,B,B,D
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"30,2",A,A,B,A,D
11999,702,1,"26,2",B,D,B,A,E
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"38,2",C,B,B,A,B
11999,702,1,"20,4",B,D,D,A,C
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"37,8",D,B,B,A,C
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"15,7",A,B,D,A,E
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"39,2",A,B,C,A,B
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,,,,,,
11999,702,1,"41,5",B,A,A,A,E
11999,702,1,"30,5",D,B,A,A,B
11999,702,1,"45,1",E,E,A,A,D
11999,702,1,"35,9",B,E,C,A,C
11999,702,1,"28,1",B,B,B,A,B
11999,702,1,"46,1",C,C,E,D,C
11999,702,1,29,B,B,A,A,B
11999,702,1,"30,9",B,A,B,D,B
11999,702,1,"35,4",C,B,A,D,B
11999,702,1,"25,4",E,F,B,A,C
11999,702,1,"31,7",C,A,B,A,B
11999,702,1,"29,6",B,B,B,A,B
11999,702,1,,,,,,
11999,702,1,"29,8",,,,,
11999,702,1,"44,5",A,B,C,A,C
