Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
594,4004,3,"42,8",F,C,B,A,C
594,4004,3,"57,2",F,E,C,B,E
594,4004,3,"40,3",B,B,B,A,E
594,4004,3,"62,5",D,D,B,B,E
594,4004,3,"46,1",E,D,F,B,C
594,4004,3,"59,9",B,E,E,B,B
594,4004,3,"50,2",D,C,D,A,C
594,4004,3,"50,6",E,F,F,B,E
594,4004,3,"52,6",F,F,F,B,C
594,4004,3,40,B,B,A,A,B
594,4004,3,"66,9",E,E,F,A,C
594,4004,3,"53,4",D,B,B,A,C
594,4004,3,"64,3",E,D,D,A,B
594,4004,3,"74,2",C,D,C,A,B
594,4004,3,"69,1",B,F,D,A,C
594,4004,3,"61,6",D,E,E,A,E
594,4004,3,"59,2",E,D,B,A,C
594,4004,3,"56,2",B,D,A,A,C
594,4004,3,"51,6",C,E,E,A,D
594,4004,3,"70,1",F,D,E,B,A
594,4004,3,"44,6",E,F,E,B,B
594,4004,3,"31,5",D,C,C,A,E
594,4004,3,"51,5",B,C,C,A,D
594,4004,3,"59,5",B,B,D,A,D
594,4004,3,"44,3",B,B,C,A,E
594,4004,3,"47,3",E,D,D,E,C
614,4004,3,"71,7",E,E,D,B,C
614,4004,3,"41,8",E,E,F,B,C
614,4004,3,"40,3",D,D,B,A,B
614,4004,3,"50,8",C,D,C,A,D
614,4004,3,"27,4",E,E,D,B,B
614,4004,3,54,D,E,B,E,D
614,4004,3,"72,8",D,D,C,A,D
614,4004,3,"46,3",A,F,D,B,D
614,4004,3,"46,1",D,D,D,A,C
614,4004,3,"60,8",F,F,D,B,B
614,4004,3,"50,8",E,D,E,A,C
614,4004,3,"57,2",C,C,B,A,C
614,4004,3,"58,7",D,D,A,A,C
614,4004,3,"66,5",E,E,E,B,E
614,4004,3,"41,2",E,E,E,B,E
614,4004,3,"38,5",D,D,C,A,E
614,4004,3,"55,4",D,D,B,B,C
614,4004,3,"69,2",E,D,B,A,E
614,4004,3,"53,4",D,D,D,B,B
614,4004,3,"56,4",B,D,F,B,A
