Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
624,702,3,,E,E,E,A,B
624,702,3,"23,6",D,D,A,A,C
624,702,3,51,D,D,B,B,D
624,702,3,"60,3",D,B,C,A,D
624,702,3,"51,6",C,D,B,B,B
624,702,3,"66,8",D,D,C,A,E
624,702,3,"46,4",C,B,A,A,E
624,702,3,"48,2",C,D,C,E,D
624,702,3,,B,C,D,A,C
624,702,3,45,D,F,D,B,B
624,702,3,,,,,,
624,702,3,,,,,,
624,702,3,,,,,,
624,702,3,"29,2",C,B,C,A,E
624,702,3,53,E,C,F,B,E
624,702,3,"60,5",E,D,F,B,A
624,702,3,"56,2",D,D,C,A,E
624,702,3,"50,8",C,B,A,A,E
624,702,3,"39,9",B,D,B,A,D
624,702,3,"43,3",E,C,B,E,D
624,702,3,"32,8",,,,,
624,702,3,,,,,,
624,702,3,"33,5",D,B,B,A,C
624,702,3,"72,9",E,D,E,A,C
624,702,3,,,,,,
624,702,3,,,,,,
637,702,3,"55,6",D,D,C,A,E
637,702,3,,D,F,E,B,D
637,702,3,"50,4",E,D,C,E,C
637,702,3,"60,1",A,B,C,A,E
637,702,3,"46,4",B,B,B,B,B
637,702,3,"57,8",E,D,C,A,A
637,702,3,"24,6",B,A,A,A,B
637,702,3,"39,1",,,,,
637,702,3,"42,1",A,D,C,A,B
637,702,3,,B,C,B,A,D
637,702,3,"56,4",D,D,B,E,D
637,702,3,"52,4",B,D,B,A,C
637,702,3,61,D,E,C,B,C
637,702,3,"65,4",C,E,C,B,D
696,702,3,"54,6",C,B,B,A,E
696,702,3,"30,5",D,E,C,D,C
696,702,3,"54,3",E,F,C,B,E
696,702,3,"46,1",B,B,B,A,B
696,702,3,54,B,D,A,A,E
696,702,3,"55,5",D,D,A,D,E
696,702,3,"57,2",B,C,A,E,D
696,702,3,"50,2",B,B,B,A,D
696,702,3,"50,9",B,B,A,A,C
696,702,3,"49,9",C,B,B,A,C
696,702,3,"39,7",B,B,A,A,E
696,702,3,"35,3",B,B,E,A,D
696,702,3,"42,8",D,D,B,A,D
696,702,3,"26,9",B,B,B,A,D
696,702,3,49,C,C,B,A,E
696,702,3,"62,4",D,B,A,B,E
696,702,3,"39,2",B,C,A,A,D
696,702,3,"59,4",D,B,A,A,D
696,702,3,"49,2",A,B,B,B,C
696,702,3,"69,5",,,,,
696,702,3,"40,8",B,C,A,A,B
696,702,3,"53,1",B,B,A,A,E
696,702,3,"72,8",D,C,B,A,C
696,702,3,"59,9",B,B,B,A,E
696,702,3,"66,6",C,D,A,A,E
696,702,3,"62,2",B,B,B,A,C
696,702,3,"13,8",E,C,A,A,D
696,702,3,"58,9",B,B,B,A,C
696,702,3,51,C,E,E,A,C
696,702,3,"72,9",B,B,A,A,E
696,702,3,"46,8",B,B,A,A,C
696,702,3,"50,4",B,B,A,A,E
1428,702,3,24,C,B,D,A,B
1428,702,3,,D,F,C,B,B
1428,702,3,"66,1",C,B,D,A,C
1428,702,3,"26,6",B,B,B,D,D
1428,702,3,,,,,,
1428,702,3,"28,9",B,B,A,A,B
1428,702,3,,,,,,
1428,702,3,"32,5",D,E,A,A,C
1428,702,3,"55,5",E,E,B,A,B
1428,702,3,"40,3",F,F,E,B,A
1428,702,3,"51,9",B,F,C,E,B
1428,702,3,"39,9",E,B,D,A,C
1428,702,3,"55,1",B,B,A,A,E
1428,702,3,"47,8",A,A,A,A,D
1428,702,3,,B,B,B,A,B
1428,702,3,"55,9",D,E,C,A,B
1428,702,3,,,,,,
1428,702,3,,B,C,C,A,C
1428,702,3,,,,,,
1428,702,3,,,,,,
1428,702,3,,A,A,A,A,B
1637,702,3,,,,,,
1637,702,3,"60,1",C,C,B,A,E
1637,702,3,"55,3",B,D,D,D,B
1637,702,3,,,,,,
1637,702,3,"37,9",D,B,A,A,D
1637,702,3,"45,3",D,D,E,A,C
1637,702,3,"44,4",B,D,B,A,B
1637,702,3,"39,7",C,B,B,A,C
1637,702,3,,,,,,
1637,702,3,39,A,C,B,A,D
1637,702,3,,,,,,
1637,702,3,"71,5",B,C,B,A,E
1637,702,3,"72,9",D,E,D,A,C
1637,702,3,"76,1",B,C,D,A,B
1637,702,3,"27,9",D,B,A,A,B
1637,702,3,"58,5",D,D,A,A,B
1637,702,3,"42,3",B,B,C,A,D
1637,702,3,"54,2",A,B,B,A,B
1637,702,3,"46,8",B,C,A,A,C
2711,702,3,,C,B,C,A,D
2711,702,3,"43,4",C,F,D,B,C
2711,702,3,"31,9",E,D,A,A,D
2711,702,3,,,,,,
2711,702,3,"35,2",B,D,A,A,C
2711,702,3,"67,8",E,E,E,A,D
2711,702,3,"76,8",D,C,E,A,C
2711,702,3,"53,9",F,E,E,A,B
2711,702,3,"74,6",D,D,B,E,E
2711,702,3,"40,8",F,E,E,A,A
2711,702,3,79,C,D,C,A,C
2711,702,3,"32,4",E,D,E,E,D
2711,702,3,"53,2",C,D,D,A,C
2711,702,3,"47,4",B,B,B,A,D
2711,702,3,93,B,F,D,A,C
2711,702,3,,,,,,
2711,702,3,"37,8",C,C,C,A,C
2711,702,3,,,,,,
2711,702,3,,,,,,
2711,702,3,,,,,,
2711,702,3,"37,2",B,B,B,A,A
2711,702,3,"66,3",D,D,E,B,B
2711,702,3,"59,9",C,C,B,A,D
2711,702,3,58,E,E,C,B,C
2711,702,3,"68,8",D,E,F,A,B
2711,702,3,"58,5",B,D,C,A,C
2711,702,3,"35,6",E,D,D,B,C
2711,702,3,62,B,B,B,A,D
2711,702,3,"78,6",E,E,F,B,B
2711,702,3,"44,2",B,B,C,A,E
2711,702,3,"23,8",E,C,E,D,B
3145,702,3,"57,5",D,C,E,E,D
3145,702,3,29,B,B,C,A,C
3145,702,3,"65,4",B,C,C,A,E
3145,702,3,67,B,B,B,A,C
3145,702,3,"43,3",C,D,D,D,B
3145,702,3,"35,3",E,D,C,B,D
3145,702,3,"48,1",D,A,E,D,E
3145,702,3,"39,2",E,E,C,A,D
3145,702,3,"31,6",C,C,B,B,E
3145,702,3,"57,6",B,E,C,B,C
3145,702,3,"29,6",C,D,A,A,D
3145,702,3,"34,4",B,C,B,A,E
3145,702,3,,,,,,
3145,702,3,"53,9",D,D,C,B,E
3145,702,3,"46,4",B,C,C,A,E
3145,702,3,"33,6",D,D,D,B,B
3145,702,3,"82,9",E,E,C,A,C
3145,702,3,"28,1",E,C,D,B,B
3163,702,3,"57,3",C,F,C,A,B
3163,702,3,"25,2",C,B,A,A,E
3163,702,3,"75,2",B,D,B,A,D
3163,702,3,"60,3",E,C,D,F,E
3163,702,3,"24,2",E,E,C,B,B
3163,702,3,"35,6",D,D,C,A,B
3163,702,3,"23,1",D,C,C,A,B
3163,702,3,45,F,F,E,B,B
3163,702,3,"39,2",E,E,C,A,B
3163,702,3,"53,8",C,D,C,A,E
3163,702,3,"39,6",D,E,E,A,E
3163,702,3,"60,5",B,C,A,A,B
3163,702,3,"73,8",C,B,B,A,E
3163,702,3,"41,7",D,D,A,A,E
3163,702,3,"30,5",D,D,C,B,C
3163,702,3,"41,1",C,D,C,A,C
3163,702,3,"38,7",D,C,D,A,D
3163,702,3,"27,9",B,D,D,A,C
3163,702,3,"36,9",D,E,E,B,C
3163,702,3,,,,,,
3163,702,3,"33,6",C,D,B,A,A
3163,702,3,"36,8",A,E,B,D,C
3163,702,3,,,,,,
3163,702,3,"32,4",D,D,B,A,B
3163,702,3,"44,8",B,C,B,A,B
3163,702,3,"55,8",B,B,A,A,C
3179,702,3,"59,6",D,C,C,B,C
3179,702,3,"57,5",D,E,C,B,B
3179,702,3,"34,6",D,D,B,B,C
