Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
778,4004,4,"45,6",D,F,E,A,B
778,4004,4,"41,9",C,E,D,A,E
778,4004,4,25,D,C,D,B,C
778,4004,4,"57,8",E,F,D,B,B
778,4004,4,"58,6",E,E,C,A,B
778,4004,4,"43,1",D,D,C,B,C
778,4004,4,"52,5",C,E,D,B,C
778,4004,4,"43,1",E,D,C,A,B
778,4004,4,"49,7",F,E,C,B,C
778,4004,4,"70,6",D,E,C,B,E
778,4004,4,"54,8",E,E,F,B,C
778,4004,4,"37,9",C,D,C,A,D
778,4004,4,"75,4",D,D,D,B,C
778,4004,4,"43,8",D,C,B,A,C
778,4004,4,"51,6",D,F,D,A,A
778,4004,4,"53,8",E,E,E,B,D
778,4004,4,"54,8",C,F,B,A,C
778,4004,4,"60,9",E,E,D,B,E
778,4004,4,"63,2",D,F,C,C,C
778,4004,4,"65,9",E,D,E,B,B
778,4004,4,"59,7",D,E,E,B,B
778,4004,4,"40,9",E,E,D,B,C
778,4004,4,"61,3",D,C,D,B,A
778,4004,4,"55,6",C,C,C,A,E
778,4004,4,"56,1",E,E,F,B,E
778,4004,4,66,E,E,B,B,C
778,4004,4,"22,7",E,D,E,A,C
778,4004,4,,,,,,
865,4004,4,66,F,F,D,B,C
865,4004,4,"24,8",,,,,
865,4004,4,32,E,F,E,A,B
865,4004,4,"49,5",F,F,F,B,C
865,4004,4,"25,4",F,F,F,B,C
865,4004,4,"28,2",F,F,E,B,B
865,4004,4,"44,3",D,D,B,A,B
865,4004,4,"72,4",F,F,G,B,C
865,4004,4,"55,6",E,E,D,B,C
865,4004,4,"35,8",D,D,C,A,B
865,4004,4,"21,5",C,D,E,A,B
865,4004,4,0,C,C,B,B,C
865,4004,4,43,B,E,C,A,C
865,4004,4,"44,3",E,D,D,B,B
865,4004,4,"47,3",E,D,F,B,D
865,4004,4,"49,9",D,F,E,A,B
865,4004,4,,,,,,
865,4004,4,"61,8",D,E,D,E,C
865,4004,4,"24,2",C,C,E,B,C
865,4004,4,"47,9",F,D,F,A,D
865,4004,4,"55,1",F,D,F,B,E
865,4004,4,,,,,,
865,4004,4,"67,5",E,E,F,A,D
1110,4004,4,,,,,,
1110,4004,4,"45,7",F,E,E,B,E
1110,4004,4,,,,,,
1110,4004,4,"44,3",B,B,C,A,E
1110,4004,4,"40,2",E,E,F,B,C
1110,4004,4,"57,8",E,D,G,B,A
1110,4004,4,"43,3",D,E,F,B,B
1110,4004,4,"45,8",B,B,B,A,B
1110,4004,4,,D,D,E,B,C
1110,4004,4,"53,5",F,D,F,D,B
1110,4004,4,,,,,,
1110,4004,4,"46,4",E,C,B,A,C
1110,4004,4,"54,6",E,E,C,B,B
1110,4004,4,"49,1",E,F,F,B,B
1110,4004,4,,,,,,
1110,4004,4,"39,7",B,C,E,B,B
1110,4004,4,"49,2",B,B,C,A,B
1110,4004,4,"49,9",F,D,E,B,B
1110,4004,4,,,,,,
1110,4004,4,"31,9",D,F,E,B,B
1110,4004,4,,,,,,
1110,4004,4,52,D,D,D,B,B
1110,4004,4,"42,1",C,D,D,A,C
1110,4004,4,"31,1",,,,,
1110,4004,4,,,,,,
1110,4004,4,"46,5",E,D,C,A,A
1110,4004,4,"51,8",E,D,F,B,B
1110,4004,4,"42,9",C,E,D,A,A
1110,4004,4,"52,8",D,C,B,A,D
1110,4004,4,"74,7",F,D,F,B,E
1110,4004,4,"58,3",D,B,D,A,B
1110,4004,4,,,,,,
1110,4004,4,"58,2",D,E,F,B,D
1110,4004,4,"57,9",D,D,C,B,C
1110,4004,4,"45,1",F,F,F,A,C
1110,4004,4,"43,8",C,C,C,A,B
1110,4004,4,,,,,,
1110,4004,4,"42,4",B,D,B,A,C
1110,4004,4,"39,3",E,C,E,B,A
1110,4004,4,"37,1",B,D,E,A,B
1110,4004,4,"62,6",F,D,E,A,C
1110,4004,4,"43,3",D,C,D,A,B
1110,4004,4,,,,,,
1110,4004,4,"73,7",F,D,F,B,C
1110,4004,4,,,,,,
1110,4004,4,,,,,,
1110,4004,4,"49,2",D,C,C,A,C
1110,4004,4,"74,6",B,D,C,A,C
1110,4004,4,"56,5",E,E,F,B,B
1721,4004,4,"32,3",C,E,D,B,A
1721,4004,4,40,B,C,B,A,B
