Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
768,702,4,"31,8",A,B,B,A,B
768,702,4,"49,1",D,B,C,A,B
768,702,4,"35,1",B,C,E,A,B
768,702,4,"27,7",C,D,B,A,C
768,702,4,"41,6",B,D,C,A,B
768,702,4,"34,2",D,D,B,A,C
768,702,4,"33,9",D,D,C,B,B
768,702,4,73,E,F,C,B,C
768,702,4,"56,1",D,D,A,A,B
768,702,4,50,C,A,B,A,C
768,702,4,"23,5",D,D,C,A,B
768,702,4,"62,3",F,F,F,A,B
768,702,4,"31,1",E,E,C,A,B
768,702,4,"40,7",E,F,F,B,B
768,702,4,"71,5",D,F,E,B,D
768,702,4,"41,9",C,D,B,A,B
768,702,4,"72,6",F,F,F,B,A
768,702,4,"57,2",A,B,C,A,B
768,702,4,"51,7",B,B,B,A,D
768,702,4,"50,8",A,D,C,A,A
768,702,4,"36,1",B,E,B,B,A
768,702,4,"35,9",C,A,B,A,B
768,702,4,"49,8",C,F,C,A,B
768,702,4,"31,4",D,E,B,A,E
768,702,4,,,,,,
768,702,4,39,B,B,C,A,C
768,702,4,,,,,,
768,702,4,"59,6",D,D,B,A,B
768,702,4,"69,4",D,B,C,A,C
768,702,4,"51,3",E,D,D,B,B
860,702,4,"48,1",C,C,B,A,B
860,702,4,"49,8",C,B,C,A,D
860,702,4,"55,5",E,D,D,A,D
860,702,4,,,,,,
860,702,4,"54,8",C,F,C,A,B
860,702,4,"55,9",D,B,C,A,D
860,702,4,"40,5",C,D,A,A,B
860,702,4,"53,5",D,B,A,A,C
860,702,4,,E,F,B,B,C
860,702,4,"41,5",D,E,B,A,C
860,702,4,"38,7",D,D,A,A,E
860,702,4,"47,9",D,E,A,A,E
860,702,4,"66,4",D,B,D,A,C
860,702,4,"37,3",C,F,E,B,B
860,702,4,"32,4",C,C,B,A,D
860,702,4,"61,7",D,D,C,A,D
860,702,4,"47,8",B,B,B,A,E
860,702,4,"73,6",D,D,B,A,C
860,702,4,"62,8",D,B,B,A,C
860,702,4,"27,8",D,C,B,B,E
1035,702,4,"33,9",B,B,B,A,B
1035,702,4,"25,6",B,B,C,A,C
1035,702,4,"50,6",F,E,E,B,E
1035,702,4,72,B,D,C,A,B
1035,702,4,"51,2",B,B,B,A,C
1035,702,4,,,,,,
1035,702,4,"51,8",C,D,B,A,B
1035,702,4,,,,,,
1035,702,4,"39,7",B,D,B,A,C
1035,702,4,"56,7",D,D,A,A,C
1035,702,4,"58,5",B,D,D,A,C
1035,702,4,,,,,,
1035,702,4,"21,7",A,A,B,A,C
1035,702,4,"63,9",C,B,B,A,C
1035,702,4,"35,6",A,B,A,A,C
1035,702,4,"36,6",C,C,B,A,D
1035,702,4,"47,1",D,C,A,A,D
1035,702,4,"49,5",E,E,C,A,C
1112,702,4,"65,8",D,D,D,A,C
1112,702,4,27,B,B,C,A,B
1112,702,4,"48,4",C,D,B,A,C
1112,702,4,"42,4",B,B,B,A,C
1112,702,4,"36,6",B,B,D,A,B
1112,702,4,"31,8",C,D,C,B,B
1112,702,4,"37,9",D,C,B,A,E
1112,702,4,"33,8",D,D,E,B,C
1112,702,4,,D,B,C,A,C
1112,702,4,"42,7",D,B,B,A,D
1112,702,4,"27,8",B,B,B,A,B
1112,702,4,"45,3",B,B,C,A,E
1112,702,4,"51,1",B,D,C,A,E
1112,702,4,"25,6",B,D,C,A,E
1112,702,4,"52,5",B,D,C,A,B
1717,702,4,"59,6",C,B,B,A,C
1717,702,4,"48,5",B,B,C,A,C
1717,702,4,"50,9",B,C,A,A,C
1717,702,4,"35,3",B,C,A,A,B
1717,702,4,"34,9",B,B,D,A,C
1717,702,4,"65,3",C,D,C,A,D
1717,702,4,"40,3",B,B,A,A,B
1717,702,4,"36,4",B,E,C,A,C
1717,702,4,,D,F,E,B,B
1717,702,4,34,B,E,A,A,B
1717,702,4,,C,A,B,A,A
1717,702,4,"42,8",D,D,C,A,C
1717,702,4,"46,5",C,C,C,A,D
1717,702,4,"14,9",C,C,C,B,D
1717,702,4,"33,4",D,F,E,A,E
1717,702,4,"46,1",B,B,B,A,B
1717,702,4,50,B,D,C,A,B
1717,702,4,"20,2",C,B,A,A,C
1717,702,4,"31,7",B,B,B,A,C
1717,702,4,"60,2",C,D,B,A,B
1717,702,4,"32,7",B,C,C,A,C
1717,702,4,"51,1",C,C,C,A,C
