Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
3,5710,5,"52,6",D,F,B,B,D
3,5710,5,"63,1",E,D,B,A,C
3,5710,5,"33,7",E,F,F,B,B
3,5710,5,"58,1",D,D,B,A,C
3,5710,5,"46,3",D,F,F,B,B
3,5710,5,"64,2",B,B,C,A,B
3,5710,5,"41,4",D,D,C,A,D
3,5710,5,"48,8",D,E,C,B,B
3,5710,5,"52,9",E,F,E,A,C
3,5710,5,"62,7",D,D,C,B,D
3,5710,5,"51,9",C,D,D,A,C
3,5710,5,"58,4",E,D,D,B,B
3,5710,5,"77,7",D,E,B,A,C
3,5710,5,"37,5",D,E,B,A,B
3,5710,5,"66,4",D,D,B,B,B
3,5710,5,"71,5",F,E,F,B,B
3,5710,5,"57,8",F,F,C,B,D
3,5710,5,"62,7",E,F,C,A,E
3,5710,5,"75,1",D,E,C,A,C
3,5710,5,"50,5",D,E,B,A,D
3,5710,5,"46,1",E,E,F,B,C
3,5710,5,"44,1",E,D,D,B,C
3,5710,5,"47,9",E,E,D,B,B
3,5710,5,"55,1",C,B,A,D,B
3,5710,5,"73,5",D,E,A,B,B
3,5710,5,"60,4",E,E,E,A,C
3,5710,5,"62,7",F,E,F,B,B
3,5710,5,"49,5",E,E,D,B,C
3,5710,5,"44,9",B,B,A,A,C
3,5710,5,"27,7",E,F,E,B,B
3,5710,5,"78,9",E,F,F,B,C
3,5710,5,"40,6",D,F,C,B,E
3,5710,5,"59,9",D,F,G,B,B
3,5710,5,"67,6",D,D,C,B,E
3,5710,5,"35,5",D,D,C,A,E
3,5710,5,"59,6",B,D,E,A,D
3,5710,5,"47,7",E,F,C,A,C
3,5710,5,"54,8",D,D,C,B,B
3,5710,5,"49,8",D,D,C,E,E
3,5710,5,"60,9",D,D,B,A,E
6,2001,5,,D,F,B,A,B
6,2001,5,"30,7",D,B,A,A,B
6,2001,5,"26,8",B,B,A,A,C
6,2001,5,"52,4",C,D,A,A,C
6,2001,5,"31,9",B,B,A,A,B
6,2001,5,"63,9",B,B,B,A,D
6,2001,5,,D,D,C,A,C
6,2001,5,"59,8",D,D,E,B,D
6,2001,5,"54,6",D,D,D,A,B
6,2001,5,"26,1",B,D,B,A,B
6,2001,5,"45,5",B,C,A,A,E
6,2001,5,,D,E,C,E,E
6,2001,5,"61,5",E,D,E,B,D
6,2001,5,"63,8",C,C,B,A,C
6,2001,5,"39,4",B,B,A,A,D
6,2001,5,"36,1",C,B,A,A,B
6,2001,5,"15,4",D,E,B,D,C
6,2001,5,"48,8",B,B,B,D,B
6,2001,5,"45,8",E,B,D,D,B
6,2001,5,"50,7",D,D,C,A,C
6,2001,5,"45,4",B,F,D,A,C
6,2001,5,"54,8",B,B,A,A,A
6,2001,5,"68,5",C,D,C,D,D
6,2001,5,"29,9",B,D,B,A,B
6,2001,5,"43,2",B,B,B,A,E
6,2001,5,"44,6",B,B,B,A,C
6,2001,5,"31,2",B,D,B,A,B
6,2001,5,"59,8",E,F,E,A,D
6,2001,5,"55,9",D,E,D,B,B
6,2001,5,"28,1",A,A,A,A,D
6,2001,5,"42,9",E,B,C,D,C
6,2001,5,"54,1",B,E,B,B,B
6,2001,5,"34,8",B,B,A,A,A
6,2001,5,"48,5",B,B,A,A,E
6,2001,5,49,B,A,C,A,B
6,2001,5,"60,8",D,E,B,A,B
6,2001,5,"56,6",B,B,B,A,C
6,2001,5,"46,4",C,D,B,D,B
6,2001,5,57,C,C,D,A,D
6,2001,5,50,D,D,C,A,D
6,2001,5,"68,2",E,B,A,A,C
6,2001,5,"36,2",E,E,D,B,B
6,2001,5,"51,6",D,F,B,B,D
6,2001,5,"58,5",E,E,E,B,C
6,2001,5,16,D,C,A,A,C
6,2001,5,,,,,,
6,2001,5,"51,3",C,B,A,A,B
6,2001,5,"47,9",B,B,B,A,B
6,2001,5,"46,2",D,F,C,A,B
6,2001,5,"43,4",B,B,B,A,B
6,2001,5,"59,1",C,D,B,A,B
6,2001,5,"53,9",B,D,B,A,B
6,2001,5,"41,8",C,D,B,A,C
6,2001,5,61,A,B,A,A,C
6,2001,5,"53,4",D,D,E,A,C
6,2001,5,,E,C,C,A,C
