Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
294,5710,2,"30,5",B,B,A,A,E
294,5710,2,"37,3",E,E,F,B,E
294,5710,2,"57,7",A,A,C,B,C
294,5710,2,"55,8",B,B,B,B,E
294,5710,2,"59,8",A,A,A,A,E
294,5710,2,,,,,,
294,5710,2,"58,1",D,F,B,A,C
294,5710,2,"57,2",,,,,
294,5710,2,"48,4",D,D,E,B,B
294,5710,2,,,,,,
294,5710,2,"46,2",D,D,A,B,A
294,5710,2,"55,9",D,F,E,B,E
294,5710,2,"46,4",B,B,B,A,C
294,5710,2,"44,1",A,B,A,A,B
294,5710,2,"46,5",E,D,F,A,B
294,5710,2,"55,9",C,E,C,B,B
294,5710,2,"63,3",D,D,F,B,E
294,5710,2,"23,1",E,C,E,A,D
294,5710,2,,,,,,
294,5710,2,"47,6",E,E,D,B,C
294,5710,2,"78,9",D,F,E,B,D
294,5710,2,"34,6",A,A,A,A,E
294,5710,2,"60,9",D,D,D,A,B
294,5710,2,51,E,B,A,B,B
294,5710,2,"37,3",D,D,D,B,C
294,5710,2,,D,E,F,B,B
294,5710,2,"35,9",C,C,A,A,D
294,5710,2,"82,6",D,C,C,A,C
294,5710,2,"36,2",D,D,B,B,E
294,5710,2,"44,3",B,C,A,A,E
294,5710,2,78,B,E,C,B,C
294,5710,2,"34,6",D,D,C,B,A
294,5710,2,"57,4",A,A,A,A,E
294,5710,2,"77,9",B,E,C,A,E
294,5710,2,,,,,,
294,5710,2,,,,,,
294,5710,2,"50,5",E,E,E,B,C
294,5710,2,"73,1",D,D,D,B,E
294,5710,2,"84,7",D,E,F,B,E
294,5710,2,"43,5",A,C,E,A,C
294,5710,2,"44,8",E,E,D,B,E
294,5710,2,"58,7",D,D,E,B,E
294,5710,2,"59,7",,,,,
294,5710,2,,A,A,A,A,C
294,5710,2,"59,1",F,F,F,B,C
294,5710,2,"67,6",E,F,E,B,C
294,5710,2,"42,7",D,D,C,A,D
294,5710,2,,E,E,F,A,B
294,5710,2,"69,3",D,E,C,A,C
294,5710,2,"63,2",B,D,B,A,D
294,5710,2,"46,6",B,B,A,A,C
294,5710,2,"52,5",D,D,A,B,B
294,5710,2,"65,8",D,D,D,A,C
294,5710,2,"60,1",D,F,D,B,E
294,5710,2,"38,1",D,D,A,A,E
294,5710,2,63,C,D,A,A,E
294,5710,2,"69,2",,,,,
294,5710,2,"64,6",F,F,E,B,C
294,5710,2,"43,5",D,B,E,A,E
294,5710,2,"47,3",E,D,F,B,D
294,5710,2,"59,8",D,E,D,A,C
294,5710,2,"38,1",D,E,E,B,C
294,5710,2,"59,7",D,C,A,A,E
294,5710,2,,,,,,
294,5710,2,"63,9",E,D,D,B,C
294,5710,2,"55,8",D,C,A,A,C
294,5710,2,"52,9",E,D,D,B,D
294,5710,2,"65,5",D,C,D,B,B
294,5710,2,"32,4",,,,,
294,5710,2,"78,4",D,D,C,B,E
294,5710,2,"55,3",,,,,
294,5710,2,"66,1",D,C,B,A,B
294,5710,2,72,D,E,F,B,D
294,5710,2,"27,7",B,E,E,B,C
294,5710,2,76,D,D,C,A,D
294,5710,2,"32,6",E,D,E,B,A
294,5710,2,"63,6",C,D,B,A,E
294,5710,2,"40,9",B,B,A,A,B
294,5710,2,"62,2",D,F,G,B,D
