Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
379,702,1,"43,7",D,C,C,A,D
379,702,1,,,,,,
379,702,1,"51,4",C,D,A,A,C
379,702,1,"52,6",D,D,A,A,C
379,702,1,,,,,,
379,702,1,"59,1",B,B,A,A,C
379,702,1,"25,8",C,C,A,A,B
379,702,1,"31,5",A,C,A,A,B
379,702,1,"32,4",D,B,B,A,E
379,702,1,"29,9",A,E,A,A,B
379,702,1,,,,,,
379,702,1,"13,4",D,D,A,A,B
379,702,1,"27,2",D,D,B,A,C
379,702,1,,,,,,
379,702,1,"54,9",B,D,D,A,C
379,702,1,,,,,,
379,702,1,"45,8",A,B,A,A,C
379,702,1,"43,1",D,D,C,A,B
379,702,1,"54,4",B,D,B,A,C
379,702,1,"30,4",C,C,A,A,E
379,702,1,,,,,,
379,702,1,"25,2",A,B,A,A,E
379,702,1,"31,5",A,B,A,A,B
379,702,1,"63,6",C,E,B,A,E
379,702,1,"31,3",A,B,B,A,B
379,702,1,"23,7",B,A,C,A,B
379,702,1,"79,7",D,C,C,B,B
379,702,1,"28,9",E,D,C,A,B
379,702,1,"31,5",D,D,A,A,B
379,702,1,"39,5",B,C,B,A,D
379,702,1,"25,6",C,C,B,A,B
379,702,1,,,,,,
379,702,1,,,,,,
379,702,1,"44,1",E,D,B,B,B
379,702,1,"36,3",D,D,B,B,C
380,3202,1,"25,8",A,E,A,A,C
380,3202,1,"38,5",B,D,A,E,C
380,3202,1,"41,5",C,E,B,A,B
380,3202,1,"55,2",D,D,A,A,E
380,3202,1,"54,5",D,F,C,A,C
380,3202,1,"54,9",C,B,D,A,E
380,3202,1,"33,3",D,C,B,A,B
380,3202,1,"51,3",D,E,F,A,D
380,3202,1,"51,8",F,D,D,B,E
380,3202,1,"46,1",D,C,A,A,B
380,3202,1,"55,9",B,C,B,D,C
380,3202,1,"33,3",D,B,C,A,B
380,3202,1,,B,B,E,D,D
380,3202,1,"72,7",C,F,D,A,D
380,3202,1,"43,2",D,C,A,A,C
380,3202,1,"50,5",C,C,A,A,C
380,3202,1,,D,D,B,D,E
380,3202,1,"54,8",B,B,B,A,D
380,3202,1,"29,2",B,B,B,A,C
380,3202,1,,D,E,C,B,C
380,3202,1,"64,4",B,D,A,A,D
381,2001,1,"52,3",D,D,C,A,D
381,2001,1,"54,4",,,,,
381,2001,1,"45,6",C,B,A,A,B
381,2001,1,"66,2",C,B,B,D,D
381,2001,1,"66,9",F,E,A,A,B
381,2001,1,"40,6",F,D,B,A,B
381,2001,1,"55,6",B,D,B,A,B
381,2001,1,"66,2",B,C,A,A,D
381,2001,1,"68,2",D,D,B,B,C
381,2001,1,"57,3",D,D,B,A,B
381,2001,1,,,,,,
381,2001,1,"57,3",B,B,B,A,B
381,2001,1,"54,9",D,B,A,A,B
381,2001,1,"42,4",D,B,E,A,E
381,2001,1,"48,7",D,D,B,A,C
381,2001,1,40,E,F,C,A,C
381,2001,1,"70,1",B,D,B,A,B
381,2001,1,"60,2",D,D,B,D,D
381,2001,1,"30,3",D,F,C,A,C
381,2001,1,"40,7",D,D,B,A,B
381,2001,1,"63,3",E,E,D,E,B
381,2001,1,"53,4",E,D,B,A,C
381,2001,1,"32,7",D,D,A,A,B
381,2001,1,"50,9",D,D,B,A,B
381,2001,1,29,D,D,B,A,C
381,2001,1,"49,5",C,D,C,A,B
381,2001,1,71,D,C,A,A,C
381,2001,1,"47,2",D,D,A,A,B
381,2001,1,"62,2",B,A,A,A,D
381,2001,1,"65,3",C,C,B,A,D
381,2001,1,"26,5",F,C,A,A,B
381,2001,1,"69,9",D,C,C,B,C
381,2001,1,"36,9",E,D,A,A,B
381,2001,1,"59,9",B,B,A,A,B
381,2001,1,"57,4",C,D,B,B,B
381,2001,1,"54,9",D,D,B,A,B
381,2001,1,"41,2",B,B,B,A,D
381,2001,1,"38,2",B,B,A,A,B
381,2001,1,"25,8",D,D,B,A,C
381,2001,1,"59,1",E,F,E,D,C
381,2001,1,"50,8",A,A,A,A,B
381,2001,1,41,D,D,A,A,C
381,2001,1,70,D,D,B,D,D
381,2001,1,"37,1",F,F,E,E,B
381,2001,1,"45,9",D,E,B,A,B
381,2001,1,"56,6",D,D,C,A,C
381,2001,1,"50,3",C,D,B,A,B
381,2001,1,"46,3",D,D,A,A,C
381,2001,1,"46,5",D,B,C,A,E
381,2001,1,43,D,D,B,A,B
381,2001,1,"70,2",D,D,B,A,C
381,2001,1,"40,1",D,E,C,E,B
381,2001,1,"52,4",B,C,B,A,B
381,2001,1,"64,4",B,C,B,E,C
381,2001,1,"44,7",B,C,A,A,B
381,2001,1,"51,2",D,F,C,D,B
381,2001,1,"47,1",F,E,E,B,B
381,2001,1,"36,9",,,,,
381,2001,1,"54,2",C,B,B,B,C
381,2001,1,"25,8",D,E,A,A,B
381,2001,1,"59,3",C,D,A,A,D
381,2001,1,"47,8",A,C,B,A,B
381,2001,1,"47,2",B,B,C,A,B
381,2001,1,"55,5",D,F,C,B,B
381,2001,1,"58,8",C,C,B,A,B
381,2001,1,"35,5",B,D,A,A,D
381,2001,1,"65,3",D,D,A,A,A
381,2001,1,,D,D,C,A,B
381,2001,1,"65,6",D,B,B,A,B
381,2001,1,,B,B,A,A,C
381,2001,1,"60,4",A,B,A,A,C
381,2001,1,"36,3",D,B,A,A,C
381,2001,1,45,D,C,B,A,C
381,2001,1,73,D,D,C,E,B
381,2001,1,50,D,B,A,A,B
381,2001,1,"34,1",A,D,B,A,E
381,2001,1,"66,4",B,B,B,A,B
381,2001,1,"54,5",B,B,A,A,B
381,2001,1,"40,5",A,A,B,D,B
381,2001,1,"64,3",B,F,A,A,D
381,2001,1,"53,1",B,B,B,A,B
381,2001,1,,,,,,
381,2001,1,"53,1",E,D,B,A,E
381,2001,1,"30,5",C,D,C,A,B
381,2001,1,"43,2",D,D,A,A,C
381,2001,1,"52,9",B,C,A,A,C
381,2001,1,"30,9",D,D,B,A,C
381,2001,1,"52,3",D,D,A,A,C
381,2001,1,"64,9",B,D,A,A,C
381,2001,1,"42,3",A,D,A,A,B
381,2001,1,"40,5",B,B,B,A,D
381,2001,1,"52,9",B,B,B,D,E
381,2001,1,"51,7",D,B,A,A,C
381,2001,1,"38,5",B,D,B,A,A
381,2001,1,"46,1",D,D,E,B,D
381,2001,1,"28,2",B,B,A,A,C
381,2001,1,"60,5",C,D,B,A,B
381,2001,1,"54,6",D,F,D,A,C
381,2001,1,"60,5",D,D,D,A,B
381,2001,1,"29,2",B,D,A,D,B
381,2001,1,"34,3",D,D,A,A,B
381,2001,1,"57,2",,,,,
382,1502,1,"41,6",D,D,C,B,E
382,1502,1,"31,9",B,C,B,A,C
382,1502,1,42,D,C,D,A,C
382,1502,1,42,D,C,B,A,C
