Cod_curso,Cod_grupo_curso,Cod_regiao_curso,Nota_geral,Escolaridade_pai,Escolaridade_mae,Renda,Tipo_escola,Horas_estudos
750,21,4,"64,6",F,F,D,B,B
750,21,4,64,D,B,A,B,D
750,21,4,"78,1",D,F,C,A,C
750,21,4,"79,3",E,E,D,B,C
750,21,4,"66,4",E,E,A,A,E
750,21,4,"52,3",C,E,D,A,E
750,21,4,"71,3",E,F,F,B,E
750,21,4,"69,3",F,D,C,A,C
750,21,4,"62,9",F,F,F,B,E
750,21,4,"58,7",E,E,D,B,B
750,21,4,"55,9",C,C,C,A,E
750,21,4,57,E,E,D,B,B
750,21,4,"75,7",C,E,F,B,E
750,21,4,"75,2",E,E,F,B,D
750,21,4,73,E,B,F,B,D
750,21,4,"66,6",F,F,F,F,C
750,21,4,"67,9",D,C,C,A,D
750,21,4,"74,8",D,F,F,B,E
750,21,4,"61,3",D,D,B,A,C
750,21,4,"51,1",E,E,E,B,E
750,21,4,0,D,E,D,B,E
750,21,4,,,,,,
750,21,4,"67,5",F,F,E,B,E
750,21,4,"60,6",E,E,E,B,D
750,21,4,"48,2",F,E,F,B,D
750,21,4,"69,7",E,E,C,B,E
750,21,4,"62,4",E,D,B,A,E
750,21,4,,,,,,
750,21,4,67,E,E,B,B,E
750,21,4,"62,6",D,E,D,A,C
750,21,4,"71,8",E,E,F,B,D
750,21,4,"81,2",E,F,F,B,E
750,21,4,"24,1",D,E,F,A,C
750,21,4,"59,1",F,F,E,B,D
750,21,4,38,B,D,E,A,E
750,21,4,,,,,,
750,21,4,"64,7",F,E,D,B,E
750,21,4,61,E,F,E,B,E
750,21,4,"22,4",,,,,
750,21,4,"76,9",F,F,E,B,B
750,21,4,"64,5",E,F,D,B,E
750,21,4,"49,1",F,F,E,A,B
750,21,4,"59,9",C,D,B,A,E
750,21,4,"66,1",D,F,E,B,E
750,21,4,"63,9",D,D,E,B,D
750,21,4,"60,7",F,F,D,B,C
750,21,4,"63,2",D,D,C,A,E
750,21,4,"37,1",D,F,F,B,D
750,21,4,"58,8",E,E,F,B,E
750,21,4,"66,2",D,D,C,A,E
750,21,4,52,C,B,B,A,E
750,21,4,"10,2",E,E,F,B,D
750,21,4,"67,4",E,E,E,B,E
750,21,4,,E,F,C,B,A
750,21,4,"43,2",C,C,B,A,E
750,21,4,"45,1",D,D,C,A,E
750,21,4,"48,5",F,E,F,B,D
750,21,4,"32,4",F,E,D,A,E
750,21,4,"47,5",D,E,B,A,E
750,21,4,"70,1",A,D,C,A,E
750,21,4,"48,5",C,B,D,A,C
750,21,4,"43,4",F,F,E,B,B
750,21,4,"63,1",E,D,D,A,E
750,21,4,"61,2",F,F,D,A,C
750,21,4,"68,1",F,E,C,B,E
750,21,4,"0,7",E,E,C,D,A
750,21,4,"50,8",E,F,F,B,E
750,21,4,"61,7",C,E,C,B,E
750,21,4,"58,4",D,D,D,A,E
754,3502,4,"62,2",A,D,A,A,E
754,3502,4,"57,2",B,A,A,A,B
754,3502,4,"55,3",B,D,A,A,C
754,3502,4,"65,1",D,C,A,A,B
754,3502,4,,D,D,D,A,B
754,3502,4,"66,7",B,B,A,A,B
754,3502,4,"60,9",A,B,B,A,B
754,3502,4,"53,6",E,F,E,A,B
